run,13,anneal,2000,1,17860.58424
run,13,anneal,2000,2,19579.64927
run,13,anneal,2000,3,16867.19197
run,13,anneal,2000,4,16960.88664
run,13,anneal,8000,0,16701.17133
run,13,anneal,8000,1,16692.412
run,13,anneal,8000,2,16721.42649
run,13,anneal,8000,3,16706.67391
run,13,anneal,8000,4,16708.40754
run,13,anneal,32000,0,16721.09167
run,13,anneal,32000,1,16696.08035
run,13,anneal,32000,2,16691.52734
run,13,anneal,32000,3,16651.02292
run,13,anneal,32000,4,16714.37812
run,13,ga,500,0,17651.45286
run,13,ga,500,1,17866.54703
run,13,ga,500,2,19443.97989
run,13,ga,500,3,17887.90705
run,13,ga,500,4,17251.26529
run,13,ga,2000,0,17634.62282
run,13,ga,2000,1,17838.5029
run,13,ga,2000,2,17636.01062
run,13,ga,2000,3,17842.57557
run,13,ga,2000,4,17839.8942
run,13,ga,8000,0,17209.35782
run,13,ga,8000,1,17836.42819
run,13,ga,8000,2,17209.72987
run,13,ga,8000,3,16745.83634
run,13,ga,8000,4,17836.21471
run,13,ga,32000,0,16692.68708
run,13,ga,32000,1,17836.09777
run,13,ga,32000,2,16749.25096
run,13,ga,32000,3,17835.98547
run,13,ga,32000,4,17836.25377
feas,13,random,10,5.982121411
feas,13,climb,10,0.01937214309
feas,13,anneal,10,0
feas,13,ga,11,0
meta,14,28,4,43,437,195452.7771,95222.0019,13,551.95
feas,14,human,13,551.95
feas,14,centroid,16,766.73
run,14,random,500,0,53079.73825
run,14,random,500,1,56940.72497
run,14,random,500,2,57537.60739
run,14,random,500,3,67426.25252
run,14,random,500,4,46605.32657
run,14,random,2000,0,53079.73825
run,14,random,2000,1,50079.61556
run,14,random,2000,2,57537.60739
run,14,random,2000,3,51899.80571
run,14,random,2000,4,46605.32657
run,14,random,8000,0,43016.87112
run,14,random,8000,1,44653.49109
run,14,random,8000,2,44749.38578
run,14,random,8000,3,51899.80571
run,14,random,8000,4,46605.32657
run,14,random,32000,0,41029.58029
run,14,random,32000,1,43177.76378
run,14,random,32000,2,39477.8305
run,14,random,32000,3,43631.87645
run,14,random,32000,4,39217.43524
run,14,climb,500,0,50579.61238
run,14,climb,500,1,43805.51524
run,14,climb,500,2,67831.11244
run,14,climb,500,3,36284.02077
run,14,climb,500,4,38378.36857
run,14,climb,2000,0,49583.45027
run,14,climb,2000,1,34627.34854
run,14,climb,2000,2,30857.36859
run,14,climb,2000,3,33963.83582
run,14,climb,2000,4,35371.56782
run,14,climb,8000,0,33653.16493
run,14,climb,8000,1,34627.34854
run,14,climb,8000,2,30638.32054
run,14,climb,8000,3,31221.81674
run,14,climb,8000,4,34183.17603
run,14,climb,32000,0,30637.6125
run,14,climb,32000,1,31412.44383
run,14,climb,32000,2,30638.32054
run,14,climb,32000,3,31221.81674
run,14,climb,32000,4,30638.5252
run,14,anneal,500,0,49046.96656
run,14,anneal,500,1,34987.2019
run,14,anneal,500,2,51708.37832
run,14,anneal,500,3,32369.89942
run,14,anneal,500,4,34517.69994
run,14,anneal,2000,0,34364.99415
run,14,anneal,2000,1,45537.43211
run,14,anneal,2000,2,34616.95612
run,14,anneal,2000,3,37176.39778
run,14,anneal,2000,4,30805.43847
run,14,anneal,8000,0,37163.49561
run,14,anneal,8000,1,30639.30302
run,14,anneal,8000,2,30643.41423
run,14,anneal,8000,3,31613.63256
run,14,anneal,8000,4,30985.43667
run,14,anneal,32000,0,30648.3272
run,14,anneal,32000,1,32082.82178
run,14,anneal,32000,2,30645.04463
run,14,anneal,32000,3,30531.9553
run,14,anneal,32000,4,30662.63637
