lib	alg	dim	median_ratio
mealpy	BaseFOA	5	6.09819
mealpy	OriginalGBO	5	0.00781432
mealpy	TVAC	5	0.00873415
mealpy	BaseFBIO	5	0.00016122
mealpy	ImprovedBSO	5	0.431976
mealpy	OriginalAO	5	2.2742
mealpy	BaseGSKA	5	2.50485e-05
mealpy	BaseLCO	5	0.369435
mealpy	OriginalSSpiderA	5	1.47177
mealpy	BaseHS	5	0.17483
mealpy	AdaptiveEO	5	0.00693161
mealpy	OriginalWCA	5	0.216182
mealpy	OriginalMRFO	5	0.114637
mealpy	OriginalEOA	5	0.674618
mealpy	OriginalABC	5	0.0702763
mealpy	ModifiedAEO	5	0.166884
mealpy	OriginalSFO	5	1.34295
mealpy	BaseBBO	5	0.291371
mealpy	OriginalNMRA	5	5.85368e-10
mealpy	OriginalACOR	5	0.0280484
mealpy	ImprovedSFO	5	1.05465
mealpy	OriginalCRO	5	0.131327
mealpy	LevyJA	5	0.109946
mealpy	OriginalHS	5	0.087501
mealpy	OriginalCSO	5	1.05605
mealpy	OriginalCOA	5	0.163215
mealpy	LevyQSA	5	8.9823e-06
mealpy	OppoQSA	5	2.83152e-06
mealpy	BaseBRO	5	1.07247
mealpy	OriginalSLO	5	0.663963
mealpy	OriginalMVO	5	0.061339
mealpy	CLPSO	5	0.0307859
mealpy	OriginalNRO	5	6.90717e-07
mealpy	BaseSCA	5	0.343265
mealpy	BaseGCO	5	0.00276984
mealpy	OriginalArchOA	5	0.21228
mealpy	SwarmHC	5	0.0727653
mealpy	ImprovedTLO	5	0.423263
mealpy	OriginalMSA	5	0.0226721
mealpy	WOA	5	0.232126
mealpy	OriginalIWO	5	0.313516
mealpy	BaseGA	5	0.15382
mealpy	ModifiedEO	5	0.0501434
mealpy	ImprovedNMRA	5	0.28795
mealpy	BaseCHIO	5	1.6137
mealpy	OriginalHHO	5	0.347339
mealpy	OriginalGWO	5	0.227705
mealpy	ImprovedQSA	5	3.07381e-05
mealpy	OriginalFBIO	5	0.000372414
mealpy	OriginalBeesA	5	0.0213761
mealpy	BaseEFO	5	0
mealpy	OriginalSA	5	0.0723802
mealpy	OriginalHC	5	2.134
mealpy	OriginalSHO	5	0.78098
mealpy	JADE	5	0
mealpy	OriginalCA	5	1.12869
mealpy	EnhancedTWO	5	0.0712359
mealpy	BaseSSA	5	0.400455
mealpy	OriginalAOA	5	6.3915
mealpy	OriginalQSA	5	2.85425e-08
mealpy	OriginalGOA	5	0.0376101
mealpy	EnhancedAEO	5	0.242633
mealpy	OriginalGSKA	5	0.000101805
mealpy	PPSO	5	0.414209
mealpy	OriginalCGO	5	0.164039
mealpy	OriginalHGSO	5	0.876638
mealpy	OriginalSBO	5	0.163127
mealpy	OppoTWO	5	0.129437
mealpy	OriginalASO	5	4.94427
mealpy	ModifiedSLO	5	0.38182
mealpy	BaseVCS	5	0
mealpy	LSHADE	5	0
mealpy	OriginalEFO	5	1.51796
mealpy	OriginalJA	5	1.44753
mealpy	OriginalGCO	5	0.000320073
mealpy	OriginalPSS	5	0.121995
mealpy	OriginalEHO	5	0.651182
mealpy	OriginalSSA	5	0.466938
mealpy	OriginalSCA	5	0.356162
mealpy	OriginalBES	5	0.316026
mealpy	BaseSBO	5	0.195779
mealpy	BaseJA	5	0.144484
mealpy	OriginalSARO	5	0
mealpy	OriginalSRSR	5	0.0696633
mealpy	OriginalTWO	5	0.00164591
mealpy	OriginalWDO	5	2.84498
mealpy	AugmentedAEO	5	0.181204
mealpy	OriginalWOA	5	0.347792
mealpy	SADE	5	0
mealpy	OriginalBRO	5	1.42653
mealpy	OriginalSSpiderO	5	1.06811
mealpy	ProbBeesA	5	0.77593
mealpy	OriginalFA	5	0.219871
mealpy	OriginalCSA	5	1.34082
mealpy	OriginalALO	5	0.624785
mealpy	OriginalDO	5	0.780256
mealpy	OriginalCHIO	5	1.0096
mealpy	OriginalBSA	5	0.1535
mealpy	LevyEP	5	0.105255
mealpy	OriginalICA	5	0.220141
mealpy	ImprovedLCO	5	0.538511
mealpy	OriginalMFO	5	2.12347
mealpy	ImprovedAEO	5	0.184437
mealpy	OriginalVCS	5	0.483004
mealpy	AdaptiveBA	5	5.45039
mealpy	MultiGA	5	1.5029
mealpy	OriginalES	5	0.205448
mealpy	LevyES	5	0.0439529
mealpy	OriginalEP	5	1.19385
mealpy	BaseSMA	5	0.075287
mealpy	OriginalPSO	5	3.66064
mealpy	FBUDGETSHADE	5	0
mealpy	OriginalFOA	5	6.01066
mealpy	BaseQSA	5	1.0514e-06
mealpy	BaseMFO	5	0.0127564
mealpy	BaseDE	5	0
mealpy	WhaleFOA	5	7.95881
Baselines	DE	10	0.0502374
Baselines	RCobyla	10	0.131904
Baselines	PSO	10	3.58643
Baselines	RandomSearch	10	0.999655
Baselines	DiagonalCMA	10	0.00418406
Baselines	modcma	10	0.00154253
Baselines	modde	10	0.00225405
Baselines	OnePlusOne	10	0.328145
Baselines	Powell	10	0.0114043
Baselines	MultiBFGS	10	1.21147e-06
Baselines	lshade	10	0
Baselines	bipop	10	0
EVOLOPY	DE	10	0.00926189
EVOLOPY	JAYA	10	0.426394
EVOLOPY	PSO	10	0.293099
EVOLOPY	WOA	10	0.437888
EVOLOPY	FFA	10	0.0440287
EVOLOPY	BAT	10	1.19268
EVOLOPY	MVO	10	0.0249238
EVOLOPY	HHO	10	0.430745
EVOLOPY	SCA	10	0.498603
EVOLOPY	GA	10	0.184677
EVOLOPY	MFO	10	0.277983
EVOLOPY	CS	10	0.0139232
EVOLOPY	GWO	10	0.121428
EVOLOPY	SSA	10	0.0578588
NIAPY	DynamicFireworksAlgorithm	10	0.036478
NIAPY	HarmonySearch	10	0.181722
NIAPY	EvolutionStrategyMp1	10	0.0370325
NIAPY	MonarchButterflyOptimization	10	1.32984
NIAPY	CenterParticleSwarmOptimization	10	0.0673301
NIAPY	DynNpDifferentialEvolution	10	0.549476
NIAPY	CamelAlgorithm	10	0.303597
NIAPY	BatAlgorithm	10	0.304152
NIAPY	GlowwormSwarmOptimization	10	2.6545
NIAPY	BareBonesFireworksAlgorithm	10	0.320774
NIAPY	CuckooSearch	10	0.0012554
NIAPY	GeneticAlgorithm	10	1.00983
NIAPY	ParticleSwarmAlgorithm	10	0.024441
NIAPY	MonkeyKingEvolutionV3	10	0.789255
NIAPY	MonkeyKingEvolutionV2	10	0.01341
NIAPY	SineCosineAlgorithm	10	5.64504
NIAPY	EvolutionStrategy1p1	10	0.172402
NIAPY	HarrisHawksOptimization	10	0.126622
