lib	alg	dim	budget_factor	wins	losses	pairs	p_better	holm_better	p_worse	holm_worse	verdict
OPYTIMIZER	HHO	20	500	1179	21	1200	4.465e-317	1.21894e-314	1	1	better
OPYTIMIZER	BSA	20	500	1109	91	1200	2.26397e-223	3.39596e-221	1	1	better
OPYTIMIZER	TEO	20	500	565	70	635	2.01108e-97	1.85019e-95	1	1	better
OPYTIMIZER	FA	20	500	242	958	1200	1	1	2.15686e-101	5.93137e-99	worse
OPYTIMIZER	WWO	20	500	1062	18	1080	4.25051e-287	9.64865e-285	1	1	better
OPYTIMIZER	IWO	20	500	995	205	1200	4.2018e-125	4.15978e-123	1	1	better
OPYTIMIZER	KH	20	500	1131	69	1200	1.43156e-248	2.5625e-246	1	1	better
OPYTIMIZER	FOA	20	500	1173	27	1200	5.58515e-307	1.40746e-304	1	1	better
OPYTIMIZER	RPSO	20	500	1169	31	1200	1.39804e-300	3.38326e-298	1	1	better
OPYTIMIZER	SCA	20	500	671	529	1200	2.30327e-05	0.00131286	0.999982	1	better
OPYTIMIZER	OSA	20	500	808	392	1200	5.02821e-34	3.922e-32	1	1	better
OPYTIMIZER	WDO	20	500	431	769	1200	1	1	6.00425e-23	1.54309e-20	worse
OPYTIMIZER	LSA	20	500	1188	12	1200	0	0	1	1	better
OPYTIMIZER	VPSO	20	500	1179	21	1200	4.465e-317	1.21894e-314	1	1	better
OPYTIMIZER	SBO	20	500	1175	25	1200	2.83723e-310	7.34842e-308	1	1	better
OPYTIMIZER	GA	20	500	1188	12	1200	0	0	1	1	better
OPYTIMIZER	MFO	20	500	966	234	1200	3.02285e-106	2.84148e-104	1	1	better
OPYTIMIZER	CS	20	500	1189	11	1200	0	0	1	1	better
OPYTIMIZER	FSO	20	500	674	526	1200	1.07573e-05	0.000634679	0.999992	1	better
OPYTIMIZER	NGHS	20	500	1070	130	1200	1.42202e-184	1.83441e-182	1	1	better
OPYTIMIZER	GCO	20	500	1103	97	1200	5.87757e-217	8.52248e-215	1	1	better
OPYTIMIZER	TWO	20	500	1180	20	1200	7.93924e-319	2.18329e-316	1	1	better
OPYTIMIZER	WEO	20	500	1182	18	1200	2.17389e-322	6.06515e-320	1	1	better
OPYTIMIZER	GWO	20	500	1151	49	1200	2.80013e-274	5.88028e-272	1	1	better
OPYTIMIZER	SAVPSO	20	500	1191	9	1200	0	0	1	1	better
OPYTIMIZER	FFOA	20	500	381	819	1200	1	1	1.35822e-37	3.55853e-35	worse
OPYTIMIZER	AIG	20	500	1197	3	1200	0	0	1	1	better
OPYTIMIZER	BH	20	500	1063	137	1200	2.91281e-178	3.55363e-176	1	1	better
OPYTIMIZER	CI	20	500	61	16	77	1.20882e-07	7.37378e-06	1	1	better
OPYTIMIZER	SSA	20	500	1171	29	1200	9.47285e-304	2.33979e-301	1	1	better
OPYTIMIZER	AO	20	500	694	506	1200	3.17122e-08	1.99787e-06	1	1	better
OPYTIMIZER	MVO	20	500	28	1	29	5.58794e-08	3.46452e-06	1	1	better
mealpy	LevyTWO	20	500	1050	150	1200	5.33887e-167	6.19308e-165	1	1	better
mealpy	OriginalTLO	20	500	1144	56	1200	6.33725e-265	1.26111e-262	1	1	better
mealpy	GWO	20	500	1075	125	1200	3.414e-189	4.50648e-187	1	1	better
mealpy	OriginalBBO	20	500	1132	68	1200	8.71728e-250	1.56911e-247	1	1	better
mealpy	ABFO	20	500	466	696	1162	1	1	7.94952e-12	2.01123e-09	worse
mealpy	OriginalWHO	20	500	1176	24	1200	6.02618e-312	1.59091e-309	1	1	better
mealpy	OriginalFFA	20	500	522	678	1200	0.999997	1	3.72498e-06	0.000931244	worse
mealpy	BaseSARO	20	500	1182	18	1200	2.17389e-322	6.06515e-320	1	1	better
mealpy	OriginalSMA	20	500	701	499	1200	3.0196e-09	1.99294e-07	1	1	better
mealpy	SingleGA	20	500	1147	53	1200	6.98302e-269	1.4385e-266	1	1	better
mealpy	OriginalSSDO	20	500	808	392	1200	5.02821e-34	3.922e-32	1	1	better
mealpy	OriginalFPA	20	500	1168	32	1200	5.11183e-299	1.22684e-296	1	1	better
mealpy	OriginalSSO	20	500	674	526	1200	1.07573e-05	0.000634679	0.999992	1	better
mealpy	OriginalMA	20	500	698	502	1200	8.43967e-09	5.48578e-07	1	1	better
mealpy	OriginalCEM	20	500	467	733	1200	1	1	7.89263e-15	2.00473e-12	worse
mealpy	OCRO	20	500	1114	86	1200	7.3916e-229	1.16787e-226	1	1	better
